accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty
a2019010194319,0.177372,51.450538,1,1,06/07/2019,12:10,Unknown,30,Unknown,Unknown,Darkness: street lighting unknown,9,Unknown,Female,53,Slight,Unknown,Adult
a2019010193762,0.103255,51.450974,1,1,15/07/2019,19:32,Single carriageway,30,Using private drive or entrance,Pedestrian phase,Daylight,1,Dry,Male,65,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2019010193098,0.149431,51.484121,1,1,12/07/2019,07:40,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,14,Slight,"In carriageway, crossing elsewhere",Child
a2019010192561,0.102275,51.431225,1,1,09/07/2019,15:07,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,12,Slight,"In centre of carriageway, not on refuge",Child
a2019010191087,0.164577,51.484598,1,1,02/07/2019,18:40,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Dry,Female,19,Slight,"In carriageway, crossing elsewhere",Adult
a2019010190983,0.125852,51.495873,1,1,25/06/2019,15:50,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,4,Slight,"In carriageway, crossing elsewhere",Child
a2019010189772,0.10193,51.464748,1,1,26/06/2019,18:00,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,44,Slight,"In centre of carriageway, not on refuge",Adult
a2019010189745,0.116861,51.417482,1,1,26/06/2019,17:30,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,12,Slight,"In carriageway, crossing elsewhere",Child
a2019010188919,0.123921,51.495863,1,1,22/06/2019,16:05,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,8,Slight,"In carriageway, crossing elsewhere",Child
a2019010185305,0.119315,51.419542,1,1,05/06/2019,08:45,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,4,Slight,"In carirageway, not crossing",Child
a2019010185135,0.150436,51.445802,1,1,04/06/2019,15:44,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,2,Wet,Male,12,Slight,Unknown,Child
a2019010184384,0.123639,51.459429,1,1,31/05/2019,15:00,Single carriageway,30,T or staggered junction,Pedestrian phase,Daylight,1,Dry,Male,14,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2019010183990,0.170699,51.47158,1,2,29/05/2019,23:48,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,28,Slight,"In carriageway, crossing elsewhere",Adult
a2019010183726,0.113312,51.414129,1,1,28/05/2019,16:20,Single carriageway,30,Roundabout,No physical crossing facility within 50m,Daylight,1,Dry,Female,34,Slight,"In carirageway, not crossing",Adult
a2019010183502,0.151979,51.490819,1,1,22/05/2019,00:07,Single carriageway,30,T or staggered junction,Zebra Crossing,Darkness: street lights present and lit,1,Dry,Male,21,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010183233,0.120862,51.496062,1,1,25/05/2019,18:50,Single carriageway,30,Roundabout,No physical crossing facility within 50m,Darkness: street lights present but unlit,1,Dry,Female,13,Serious,"In centre of carriageway, not on refuge",Child
a2019010182396,0.145455,51.47244,1,1,22/05/2019,08:26,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,35,Serious,"In carirageway, not crossing",Adult
a2019010181806,0.110455,51.46821,2,2,19/05/2019,11:04,Dual carriageway,30,Other,Zebra Crossing,Daylight,1,Dry,Male,12,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2019010181806,0.110455,51.46821,2,2,19/05/2019,11:04,Dual carriageway,30,Other,Zebra Crossing,Daylight,1,Dry,Male,45,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010181163,0.099065,51.463801,1,1,16/05/2019,07:34,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Female,36,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010180795,0.108684,51.462271,1,1,14/05/2019,11:30,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,39,Slight,"In carriageway, crossing elsewhere",Adult
a2019010180229,0.180437,51.478593,1,2,11/05/2019,14:04,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,2,Wet,Female,20,Slight,On footway or verge,Adult
a2019010179824,0.140459,51.451263,1,1,09/05/2019,13:19,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,2,Wet,Male,42,Slight,"In carirageway, not crossing",Adult
a2019010176290,0.106522,51.468461,1,1,21/04/2019,18:29,Single carriageway,30,Crossroads,No physical crossing facility within 50m,Daylight,1,Dry,Male,38,Serious,"In carirageway, not crossing",Adult
a2019010176035,0.161649,51.474454,1,1,19/04/2019,19:28,One-way street,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,8,Slight,"In carriageway, crossing elsewhere",Child
a2019010175806,0.18155,51.478995,1,1,18/04/2019,12:25,Single carriageway,30,Roundabout,Zebra Crossing,Daylight,1,Dry,Female,3,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2019010175387,0.11219,51.449366,1,1,16/04/2019,08:17,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,15,Slight,"In carirageway, not crossing",Child
a2019010175275,0.145423,51.441406,1,1,15/04/2019,14:30,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,10,Slight,"In carriageway, crossing elsewhere",Child
a2019010175254,0.143413,51.485086,1,1,15/04/2019,13:00,Single carriageway,30,Other,Zebra Crossing,Daylight,1,Dry,Female,77,Slight,"In carriageway, crossing elsewhere",Adult
a2019010171195,0.125862,51.509065,1,1,25/03/2019,17:50,One-way street,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,11,Slight,"In carriageway, crossing elsewhere",Child
a2019010169650,0.12367,51.459788,1,1,17/03/2019,15:04,Dual carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Daylight,1,Wet,Male,13,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2019010168740,0.154674,51.500896,1,1,12/03/2019,22:09,Single carriageway,20,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,1,Wet,Female,34,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010167965,0.175096,51.456849,1,1,09/03/2019,10:40,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,51,Serious,"In carriageway, crossing elsewhere",Adult
a2019010167385,0.103144,51.432909,1,2,06/03/2019,17:45,Single carriageway,30,Crossroads,"Pelican, puffin, toucan",Darkness: street lights present and lit,2,Wet,Female,19,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010167160,0.146754,51.465465,1,1,05/03/2019,18:00,Single carriageway,30,Crossroads,Zebra Crossing,Darkness: street lights present and lit,2,Wet,Male,63,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010167048,0.140683,51.440656,1,1,05/03/2019,08:50,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,11,Slight,"In centre of carriageway, not on refuge",Child
a2019010166936,0.120902,51.495999,1,1,04/03/2019,17:00,Single carriageway,30,Roundabout,Central refuge,Daylight,1,Dry,Female,12,Serious,"In carriageway, crossing elsewhere",Child
a2019010163369,0.089243,51.462466,1,2,14/02/2019,15:00,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Wet,Female,11,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2019010163369,0.089243,51.462466,1,2,14/02/2019,15:00,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Wet,Female,11,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2019010163139,0.091571,51.428062,1,1,13/02/2019,07:15,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,10,Serious,"In carriageway, crossing elsewhere",Child
a2019010162350,0.148357,51.48424,1,1,08/02/2019,07:30,Dual carriageway,30,Roundabout,Zebra Crossing,Daylight,4,Wet,Male,14,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2019010159790,0.137819,51.457579,1,1,27/01/2019,02:15,Dual carriageway,30,T or staggered junction,Central refuge,Darkness: street lights present and lit,1,Wet,Male,37,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2019010158844,0.148302,51.484618,1,1,21/01/2019,17:50,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,8,Dry,Female,80,Serious,"In carriageway, crossing elsewhere",Adult
a2019010158439,0.175982,51.453703,1,1,20/01/2019,00:46,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,49,Slight,"In carriageway, crossing elsewhere",Adult
a2019010157685,0.118956,51.460566,1,1,15/01/2019,18:30,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,54,Serious,"In carriageway, crossing elsewhere",Adult
a2019010157317,0.102624,51.4263,1,1,09/01/2019,16:25,Unknown,30,T or staggered junction,Pedestrian phase,Darkness: street lights present and lit,9,Dry,Male,37,Slight,"In carriageway, crossing elsewhere",Adult
a2018010154472,0.104225,51.462998,1,1,26/12/2018,18:05,Single carriageway,30,Not at or within 20 metres of junction,Pedestrian phase,Darkness: street lights present and lit,1,Dry,Male,42,Serious,On footway or verge,Adult
a2018010152175,0.140378,51.457218,1,1,14/12/2018,18:10,Single carriageway,30,Not at or within 20 metres of junction,Central refuge,Daylight,8,Dry,Female,42,Slight,"In carriageway, crossing elsewhere",Adult
a2018010152089,0.132292,51.462851,1,1,14/12/2018,06:10,Single carriageway,30,Crossroads,Zebra Crossing,Darkness: street lights present and lit,1,Dry,Male,60,Serious,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2018010151619,0.181961,51.450786,2,1,12/12/2018,12:40,Unknown,30,Unknown,Unknown,Daylight,1,Dry,Female,43,Slight,Unknown,Adult
a2018010150655,0.105939,51.462698,1,1,07/12/2018,19:09,Single carriageway,30,T or staggered junction,Pedestrian phase,Darkness: street lights present and lit,1,Wet,Male,9,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2018010150245,0.114906,51.419999,1,1,05/12/2018,05:15,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lighting unknown,2,Wet,Male,38,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2018010149946,0.123643,51.459501,1,1,04/12/2018,18:26,Single carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Darkness: street lights present and lit,2,Wet,Male,13,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2018010148180,0.1451,51.4842,1,1,26/11/2018,17:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,13,Slight,"In carriageway, crossing elsewhere",Child
a2018010147659,0.176953,51.451418,1,1,23/11/2018,17:41,Single carriageway,30,Junction more than four arms,Pedestrian phase,Darkness: street lights present and lit,1,Dry,Female,49,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2018010146921,0.14751,51.461944,1,1,20/11/2018,15:55,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Female,16,Slight,"In centre of carriageway, not on refuge",Child
a2018010146420,0.135171,51.447421,1,1,18/11/2018,13:37,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,13,Serious,"In carriageway, crossing elsewhere",Child
a2018010145348,0.132477,51.445221,1,1,13/11/2018,13:17,Single carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Daylight,1,Dry,Female,71,Fatal,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2018010144567,0.120316,51.431233,1,1,08/11/2018,19:00,Single carriageway,30,T or staggered junction,Zebra Crossing,Darkness: street lights present and lit,1,Dry,Male,30,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2018010144030,0.150612,51.442192,1,1,07/11/2018,19:00,Dual carriageway,30,T or staggered junction,Zebra Crossing,Darkness: street lights present and lit,1,Wet,Male,60,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2018010142755,0.132787,51.464191,1,1,01/11/2018,16:32,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Wet,Female,20,Slight,"In carriageway, crossing elsewhere",Adult
a2018010142628,0.088988,51.428828,1,1,01/11/2018,08:39,Single carriageway,30,T or staggered junction,Zebra Crossing,Daylight,2,Wet,Male,6,Serious,"In carriageway, crossing on pedestrian crossing facility",Child
a2018010142460,0.162046,51.498368,1,1,31/10/2018,09:34,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,53,Serious,"In carirageway, not crossing",Adult
a2018010141538,0.13437,51.495008,1,1,26/10/2018,19:11,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present but unlit,1,Dry,Male,28,Slight,"In carriageway, crossing elsewhere",Adult
a2018010140604,0.123038,51.452677,3,2,22/10/2018,10:14,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,1,Slight,On footway or verge,Child
a2018010140604,0.123038,51.452677,3,2,22/10/2018,10:14,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,58,Serious,On footway or verge,Adult
a2018010139927,0.102554,51.432902,1,2,18/10/2018,18:00,Dual carriageway,30,Crossroads,Pedestrian phase,Darkness: street lights present and lit,1,Dry,Male,13,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2018010139927,0.102554,51.432902,1,2,18/10/2018,18:00,Dual carriageway,30,Crossroads,Pedestrian phase,Darkness: street lights present and lit,1,Dry,Female,32,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2018010139631,0.0863,51.439308,1,1,16/10/2018,12:45,Unknown,30,Not at or within 20 metres of junction,Unknown,Daylight,1,Dry,Female,34,Slight,On footway or verge,Adult
a2018010139228,0.149769,51.464061,1,1,15/10/2018,16:02,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,11,Slight,"In carriageway, crossing elsewhere",Child
a2018010138105,0.102841,51.432897,1,1,10/10/2018,16:15,Single carriageway,30,Crossroads,Pedestrian phase,Daylight,1,Dry,Female,3,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2018010137061,0.132461,51.463387,1,1,05/10/2018,14:33,One-way street,30,T or staggered junction,Zebra Crossing,Daylight,1,Dry,Female,72,Slight,"In carriageway, crossing elsewhere",Adult
a2018010136709,0.151999,51.465548,1,1,03/10/2018,09:20,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,72,Slight,"In carriageway, crossing elsewhere",Adult
a2018010136258,0.110322,51.467205,1,1,01/10/2018,15:55,Single carriageway,30,Crossroads,No physical crossing facility within 50m,Daylight,1,Dry,Female,11,Slight,"In carriageway, crossing elsewhere",Child
a2018010136226,0.100749,51.424931,1,1,01/10/2018,18:45,Single carriageway,30,Mini roundabout,No physical crossing facility within 50m,Daylight,1,Dry,Female,86,Slight,"In carirageway, not crossing",Adult
a2018010135370,0.127306,51.507276,1,1,27/09/2018,15:24,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Male,14,Slight,"In carriageway, crossing elsewhere",Child
a2018010134699,0.146271,51.45702,1,1,24/09/2018,16:36,Single carriageway,30,Roundabout,No physical crossing facility within 50m,Daylight,1,Dry,Male,60,Slight,"In carirageway, not crossing",Adult
a2018010134494,0.18115,51.466988,1,1,23/09/2018,20:14,Dual carriageway,40,T or staggered junction,Pedestrian phase,Darkness: street lights present and lit,1,Wet,Male,33,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2018010133573,0.126934,51.490017,1,1,19/09/2018,14:45,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,12,Slight,"In carriageway, crossing elsewhere",Child
a2018010133558,0.101671,51.435616,1,1,19/09/2018,16:23,Single carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Daylight,1,Dry,Female,11,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2018010132245,0.189265,51.456045,1,1,12/09/2018,15:31,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,13,Slight,"In carriageway, crossing elsewhere",Child
a2018010131973,0.115019,51.41622,1,2,11/09/2018,17:30,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,-1,Slight,Unknown,Child
a2018010131866,0.1145,51.470368,1,1,10/09/2018,13:00,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Male,36,Slight,Unknown,Adult
a2018010131016,0.140084,51.450928,1,1,06/09/2018,16:40,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,8,Dry,Female,13,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2018010131010,0.191766,51.472186,1,1,06/09/2018,08:50,Unknown,30,Slip road,Unknown,Daylight,8,Dry,Female,45,Slight,Unknown,Adult
a2018010130684,0.110801,51.461981,1,1,24/08/2018,13:30,Unknown,30,T or staggered junction,Unknown,Daylight,9,Unknown,Female,2,Slight,Unknown,Child
a2018010130443,0.097801,51.42966,1,1,03/09/2018,18:44,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,24,Serious,"In carriageway, crossing elsewhere",Adult
a2018010130338,0.126062,51.474385,1,1,03/09/2018,10:33,Roundabout,30,Roundabout,"Pelican, puffin, toucan",Daylight,1,Dry,Male,84,Slight,"In centre of carriageway, not on refuge",Adult
a2018010129757,0.10225,51.432548,1,1,30/08/2018,17:46,Single carriageway,30,Not at or within 20 metres of junction,Pedestrian phase,Daylight,1,Dry,Female,28,Slight,Unknown,Adult
a2018010127210,0.132115,51.462135,1,1,15/08/2018,13:30,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,53,Slight,"In centre of carriageway, not on refuge",Adult
a2018010126447,0.107065,51.462138,1,1,11/08/2018,12:15,Single carriageway,30,Junction more than four arms,No physical crossing facility within 50m,Daylight,1,Dry,Male,12,Slight,"In carriageway, crossing elsewhere",Child
a2018010125236,0.181869,51.466975,2,1,05/08/2018,12:23,Single carriageway,30,Not at or within 20 metres of junction,Central refuge,Daylight,1,Dry,Male,28,Serious,On footway or verge,Adult
a2018010124180,0.122535,51.413926,2,1,28/07/2018,17:25,Unknown,30,Unknown,Unknown,Daylight,1,Dry,Female,-1,Slight,"In carirageway, not crossing",Child
a2018010120443,0.184358,51.449752,1,1,11/07/2018,22:30,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,42,Serious,"In carriageway, crossing elsewhere",Adult
a2018010118878,0.179244,51.478355,1,1,04/07/2018,19:20,Single carriageway,30,Junction more than four arms,Pedestrian phase,Daylight,1,Dry,Male,14,Slight,On footway or verge,Child
a2018010118524,0.110394,51.421969,1,1,03/07/2018,14:15,Single carriageway,30,Other,Central refuge,Daylight,1,Dry,Female,11,Slight,On footway or verge,Child
a2018010117741,0.103871,51.445918,1,1,26/06/2018,17:22,Single carriageway,30,Junction more than four arms,No physical crossing facility within 50m,Daylight,1,Dry,Male,13,Slight,"In carriageway, crossing elsewhere",Child
a2018010117225,0.177489,51.480815,1,2,27/06/2018,17:20,One-way street,30,Roundabout,"Pelican, puffin, toucan",Daylight,1,Dry,Female,-1,Slight,"In carirageway, not crossing",Child
a2018010116638,0.125513,51.48114,1,1,25/06/2018,15:47,Dual carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Female,12,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2018010115605,0.180739,51.479496,1,1,20/06/2018,09:25,Unknown,30,T or staggered junction,Zebra Crossing,Daylight,8,Dry,Female,33,Slight,Unknown,Adult
a2018010114813,0.1213,51.489669,1,1,16/06/2018,21:55,Dual carriageway,30,Crossroads,"Pelican, puffin, toucan",Darkness: street lights present and lit,1,Dry,Male,55,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2018010114609,0.181518,51.480741,1,1,15/06/2018,20:45,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,31,Serious,On footway or verge,Adult
a2018010114419,0.151842,51.453051,1,1,14/06/2018,23:00,Dual carriageway,30,T or staggered junction,Pedestrian phase,Darkness: street lights present and lit,1,Dry,Female,29,Slight,"In carriageway, crossing elsewhere",Adult
a2018010111672,0.092294,51.457097,1,1,01/06/2018,19:55,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,6,Slight,"In carriageway, crossing elsewhere",Child
a2018010109773,0.084217,51.466234,2,5,23/05/2018,05:40,Single carriageway,30,Using private drive or entrance,Central refuge,Daylight,1,Dry,Male,82,Slight,On footway or verge,Adult
a2018010107832,0.150299,51.441658,1,1,14/05/2018,13:52,Single carriageway,20,Mini roundabout,Zebra Crossing,Daylight,1,Dry,Male,74,Slight,"In carriageway, crossing elsewhere",Adult
a2018010104765,0.132309,51.46321,1,1,29/04/2018,16:18,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,19,Serious,"In carriageway, crossing elsewhere",Adult
a2018010104721,0.117964,51.417696,1,1,28/04/2018,17:10,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Dry,Female,37,Slight,"In centre of carriageway, not on refuge",Adult
a2018010104661,0.102163,51.430661,1,1,28/04/2018,20:21,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Wet,Male,12,Slight,"In carriageway, crossing elsewhere",Child
a2018010104529,0.140378,51.457218,1,1,27/04/2018,21:40,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Male,24,Serious,"In carriageway, crossing elsewhere",Adult
a2018010104001,0.182219,51.471285,1,1,25/04/2018,14:40,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,7,Slight,"In carriageway, crossing elsewhere",Child
a2018010103995,0.188784,51.452008,1,1,25/04/2018,16:50,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,5,Slight,"In carirageway, not crossing",Child
a2018010103111,0.099601,51.456337,1,1,21/04/2018,15:00,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,83,Slight,On footway or verge,Adult
a2018010102486,0.147902,51.408967,1,2,18/04/2018,17:40,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,72,Serious,Unknown,Adult
a2018010102436,0.092823,51.42777,1,2,18/04/2018,11:57,Dual carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,46,Serious,"In centre of carriageway, not on refuge",Adult
a2018010102350,0.101792,51.463312,1,1,02/04/2018,11:45,Single carriageway,30,Not at or within 20 metres of junction,Unknown,Daylight,1,Dry,Male,57,Slight,"In carriageway, crossing elsewhere",Adult
a2018010102295,0.142641,51.483976,1,1,17/04/2018,16:49,One-way street,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,8,Slight,"In carriageway, crossing elsewhere",Child
a2018010100382,0.09222,51.464922,1,1,06/04/2018,21:48,Dual carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,51,Slight,"In carirageway, not crossing",Adult
a2018010100169,0.162815,51.475062,1,1,05/04/2018,20:49,Single carriageway,30,Other,"Pelican, puffin, toucan",Darkness: street lights present and lit,1,Dry,Female,17,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2018010100011,0.180096,51.45091,1,1,04/04/2018,11:55,Roundabout,30,Roundabout,"Pelican, puffin, toucan",Daylight,1,Dry,Male,25,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2018010098329,0.094193,51.463987,1,1,26/03/2018,09:50,Single carriageway,30,T or staggered junction,Pedestrian phase,Daylight,1,Dry,Female,41,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2018010098226,0.138517,51.457432,1,1,24/03/2018,22:20,Single carriageway,30,T or staggered junction,Pedestrian phase,Darkness: street lighting unknown,1,Dry,Female,34,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2018010098015,0.092076,51.464924,1,1,23/03/2018,22:51,Dual carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Darkness: street lights present and lit,2,Wet,Male,25,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2018010097999,0.175979,51.449098,1,1,23/03/2018,21:39,One-way street,30,Not at or within 20 metres of junction,Pedestrian phase,Darkness: street lights present and lit,1,Dry,Female,17,Slight,"In centre of carriageway, not on refuge",Child
a2018010097401,0.101221,51.463412,1,1,21/03/2018,06:40,Single carriageway,30,T or staggered junction,Zebra Crossing,Daylight,1,Dry,Female,30,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2018010097316,0.102932,51.450521,1,1,20/03/2018,14:45,Single carriageway,30,Crossroads,"Pelican, puffin, toucan",Daylight,1,Dry,Male,59,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2018010096984,0.166246,51.471491,1,1,19/03/2018,07:42,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,11,Slight,"In carriageway, crossing elsewhere",Child
a2018010096022,0.157097,51.49729,2,1,13/03/2018,20:20,Roundabout,50,Roundabout,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,61,Fatal,Unknown,Adult
a2018010094917,0.149236,51.455797,1,1,08/03/2018,14:20,Single carriageway,30,T or staggered junction,Pedestrian phase,Daylight,1,Dry,Female,61,Serious,On footway or verge,Adult
a2018010094266,0.144406,51.481695,1,1,16/02/2018,08:40,Single carriageway,30,Junction more than four arms,Unknown,Daylight,9,Unknown,Female,28,Slight,Unknown,Adult
a2018010090672,0.138513,51.457342,1,1,16/02/2018,16:20,Roundabout,20,Mini roundabout,Zebra Crossing,Daylight,1,Dry,Male,13,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2018010090573,0.137798,51.457445,1,1,31/01/2018,07:35,Single carriageway,20,T or staggered junction,Unknown,Darkness: street lights present and lit,2,Wet,Male,54,Slight,"In carriageway, crossing elsewhere",Adult
a2018010090504,0.127351,51.461862,1,1,15/02/2018,13:50,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,36,Slight,"In carriageway, crossing elsewhere",Adult
a2018010090241,0.178445,51.449502,1,1,14/02/2018,18:40,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Male,77,Slight,"In carriageway, crossing elsewhere",Adult
