accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty
a2022010399200,0.121967,51.460584,1,1,13/09/2022,18:23,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,2,Wet,Female,42,Serious,"In carriageway, crossing elsewhere",Adult
a2022010398916,0.15142,51.454436,1,1,12/09/2022,08:25,Single carriageway,30,Not at or within 20 metres of junction,Pedestrian phase,Daylight,1,Dry,Male,13,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2022010397976,0.180762,51.45035,1,1,06/09/2022,15:00,Dual carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,48,Slight,"In carriageway, crossing elsewhere",Adult
a2022010397520,0.143309,51.455511,1,1,03/09/2022,20:00,Single carriageway,30,Mini roundabout,Zebra Crossing,Daylight,1,Dry,Male,8,Slight,"In carriageway, crossing elsewhere",Child
a2022010395389,0.184364,51.449825,1,1,21/08/2022,12:15,Unknown,30,Using private drive or entrance,No physical crossing facility within 50m,Daylight,1,Dry,Female,17,Slight,On footway or verge,Child
a2022010394120,0.140531,51.457369,1,1,15/08/2022,15:00,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,70,Slight,"In centre of carriageway, not on refuge",Adult
a2022010393397,0.102169,51.426345,1,1,11/08/2022,12:00,Single carriageway,30,Not at or within 20 metres of junction,Pedestrian phase,Daylight,1,Dry,Male,15,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2022010392064,0.107901,51.462439,1,1,04/08/2022,11:30,Dual carriageway,30,Junction more than four arms,Pedestrian phase,Daylight,1,Dry,Female,25,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2022010391572,0.126272,51.47422,1,1,01/08/2022,11:40,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Female,59,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2022010391463,0.103228,51.426227,1,1,31/07/2022,13:43,Single carriageway,30,T or staggered junction,Zebra Crossing,Daylight,1,Dry,Female,20,Slight,On footway or verge,Adult
a2022010391351,0.162473,51.473279,1,1,30/07/2022,14:49,Single carriageway,20,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Male,53,Slight,On footway or verge,Adult
a2022010389534,0.147699,51.456734,1,1,20/07/2022,18:44,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,15,Slight,"In carriageway, crossing elsewhere",Child
a2022010387721,0.153209,51.439852,1,1,11/07/2022,09:23,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Daylight,8,Dry,Female,63,Slight,On footway or verge,Adult
a2022010386713,0.182537,51.467656,1,1,03/07/2022,14:29,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Daylight,9,Dry,Male,25,Slight,On footway or verge,Adult
a2022010386463,0.169465,51.474355,1,1,04/07/2022,19:27,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Male,4,Slight,"In carriageway, crossing elsewhere",Child
a2022010386339,0.115829,51.461082,1,1,20/06/2022,09:55,Single carriageway,20,Other,Zebra Crossing,Daylight,1,Dry,Male,63,Slight,"In carriageway, crossing elsewhere",Adult
a2022010385723,0.16358,51.4495,1,2,17/05/2022,18:15,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,-1,Slight,On footway or verge,Child
