accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty,type,year,label,name,is_surveyed,num_collisions_dimitri,distance_to_collision,project,num_collisions_bexley,avg_four_peak_adpv2,max_one_hour_adpv2
a2022010402153,0.122016,51.483048,1.0,1.0,2022-09-29,16:48,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,35.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010401600,0.13835,51.449504,1.0,1.0,2022-09-28,08:05,Roundabout,30.0,Roundabout,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,11.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010401253,0.09816,51.44309,1.0,1.0,2022-09-23,19:20,One-way street,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Male,36.0,Slight,"In centre of carriageway, not on refuge",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010401189,0.137278,51.45768,1.0,1.0,2022-09-25,22:10,Single carriageway,30.0,Not at or within 20 metres of junction,"Pelican, puffin, toucan",Darkness: street lights present and lit,1.0,Dry,Male,46.0,Serious,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010400942,0.103129,51.45069,1.0,1.0,2022-09-24,01:00,Single carriageway,30.0,Junction more than four arms,"Pelican, puffin, toucan",Darkness: street lights present and lit,1.0,Dry,Male,22.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010400769,0.134261,51.493581,1.0,1.0,2022-09-23,08:40,Single carriageway,30.0,T or staggered junction,"Pelican, puffin, toucan",Daylight,1.0,Wet,Male,7.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010399799,0.177447,51.48079,1.0,1.0,2022-09-16,20:28,Roundabout,30.0,Roundabout,Zebra Crossing,Darkness: street lights present and lit,8.0,Dry,Male,31.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010399482,0.100808,51.426469,1.0,1.0,2022-09-13,11:30,Single carriageway,30.0,Crossroads,Pedestrian phase,Daylight,2.0,Wet,Male,25.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010399200,0.121967,51.460584,1.0,1.0,2022-09-13,18:23,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,2.0,Wet,Female,42.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010398916,0.15142,51.454436,1.0,1.0,2022-12-09,08:25,Single carriageway,30.0,Not at or within 20 metres of junction,Pedestrian phase,Daylight,1.0,Dry,Male,13.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010397976,0.180762,51.45035,1.0,1.0,2022-06-09,15:00,Dual carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,48.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010397520,0.143309,51.455511,1.0,1.0,2022-03-09,20:00,Single carriageway,30.0,Mini roundabout,Zebra Crossing,Daylight,1.0,Dry,Male,8.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010395389,0.184364,51.449825,1.0,1.0,2022-08-21,12:15,Unknown,30.0,Using private drive or entrance,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,17.0,Slight,On footway or verge,Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010394120,0.140531,51.457369,1.0,1.0,2022-08-15,15:00,Single carriageway,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,70.0,Slight,"In centre of carriageway, not on refuge",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010393397,0.102169,51.426345,1.0,1.0,2022-11-08,12:00,Single carriageway,30.0,Not at or within 20 metres of junction,Pedestrian phase,Daylight,1.0,Dry,Male,15.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010392064,0.107901,51.462439,1.0,1.0,2022-04-08,11:30,Dual carriageway,30.0,Junction more than four arms,Pedestrian phase,Daylight,1.0,Dry,Female,25.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
