accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty,type,year,label,name,is_surveyed,num_collisions_dimitri,distance_to_collision,project,num_collisions_bexley,avg_four_peak_adpv2,max_one_hour_adpv2
a2020010252989,0.151809,51.496362,1.0,1.0,2020-06-23,08:10,Unknown,30.0,Unknown,Unknown,Daylight,8.0,Dry,Male,51.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010252132,0.161448,51.490303,1.0,1.0,2020-06-17,15:58,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,12.0,Serious,Unknown,Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010250714,0.110492,51.473686,1.0,1.0,2020-01-06,17:00,Unknown,30.0,Using private drive or entrance,Unknown,Daylight,1.0,Dry,Male,16.0,Serious,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010246785,0.106566,51.468496,1.0,1.0,2020-05-05,14:05,Dual carriageway,30.0,Crossroads,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,83.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010246621,0.127974,51.452354,1.0,1.0,2020-03-05,18:45,Single carriageway,30.0,Mini roundabout,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,43.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010246265,0.103364,51.451152,1.0,1.0,2020-04-28,07:23,Single carriageway,30.0,Not at or within 20 metres of junction,Unknown,Daylight,2.0,Wet,Female,54.0,Slight,On footway or verge,Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010246042,0.149517,51.464218,2.0,3.0,2020-04-27,10:00,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,46.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010246042,0.149517,51.464218,2.0,3.0,2020-04-27,10:00,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,14.0,Slight,"In carirageway, not crossing",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010244132,0.154159,51.453053,1.0,1.0,2020-03-19,08:00,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,11.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010243148,0.19072,51.458168,1.0,1.0,2020-03-21,10:08,Dual carriageway,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,52.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010242330,0.16595,51.497145,1.0,1.0,2020-03-16,07:00,Unknown,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,20.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010242061,0.123699,51.459787,1.0,1.0,2020-03-14,15:40,Single carriageway,30.0,Other,"Pelican, puffin, toucan",Daylight,1.0,Dry,Female,11.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010241845,0.112253,51.461946,1.0,1.0,2020-12-03,08:15,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,15.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010240433,0.177186,51.470524,1.0,1.0,2020-02-23,23:00,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Wet,Male,48.0,Slight,Unknown,Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010240229,0.087453,51.430186,1.0,1.0,2020-05-03,15:20,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,5.0,Wet,Female,72.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010236777,0.109855,51.465496,1.0,1.0,2020-02-15,18:59,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,5.0,Wet,Female,31.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010235941,0.193143,51.467565,6.0,1.0,2020-11-02,16:44,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,4.0,Dry,Female,20.0,Slight,On footway or verge,Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010235845,0.152976,51.455728,1.0,1.0,2020-11-02,11:20,Roundabout,30.0,Roundabout,"Pelican, puffin, toucan",Daylight,1.0,Dry,Female,29.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010235620,0.181744,51.464342,1.0,1.0,2020-10-02,09:15,Dual carriageway,40.0,Not at or within 20 metres of junction,Pedestrian phase,Daylight,4.0,Dry,Female,70.0,Serious,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010235605,0.125935,51.459585,1.0,1.0,2020-10-02,09:35,Single carriageway,30.0,Other,"Pelican, puffin, toucan",Daylight,1.0,Dry,Male,1.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010235520,0.126843,51.499191,1.0,1.0,2020-09-02,14:20,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,5.0,Wet,Female,10.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010234921,0.145308,51.477605,1.0,1.0,2020-06-02,16:20,Unknown,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,12.0,Slight,Unknown,Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010234759,0.102776,51.424912,1.0,1.0,2020-05-02,14:30,Single carriageway,20.0,Other,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,56.0,Slight,Unknown,Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010234682,0.142771,51.456967,1.0,1.0,2020-05-02,15:00,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,15.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010234441,0.12758,51.458422,1.0,1.0,2020-04-02,08:57,Dual carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,38.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010233253,0.162714,51.475369,1.0,1.0,2020-01-28,18:00,Single carriageway,20.0,Crossroads,Zebra Crossing,Darkness: street lights present and lit,1.0,Dry,Male,60.0,Slight,"In carriageway, crossing within zig-zag lines at crossing approach",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010232972,0.100866,51.436574,1.0,1.0,2020-01-27,15:40,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2.0,Wet,Female,11.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010232885,0.122285,51.41411,1.0,1.0,2020-01-27,07:00,Single carriageway,30.0,Using private drive or entrance,Pedestrian phase,Daylight,1.0,Dry,Male,32.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010232268,0.138246,51.493786,1.0,1.0,2020-01-23,15:30,Single carriageway,30.0,Roundabout,Zebra Crossing,Daylight,1.0,Dry,Male,13.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010231930,0.100767,51.456972,1.0,1.0,2020-01-22,08:06,Slip road,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Wet,Female,16.0,Slight,Unknown,Child,Collision involving a child,2020.0,C2020,,,,,,,,
a2020010231776,0.108024,51.463578,1.0,1.0,2020-01-21,12:37,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,25.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010231013,0.148443,51.484247,1.0,1.0,2020-01-17,10:50,Roundabout,30.0,Roundabout,Zebra Crossing,Daylight,1.0,Wet,Female,53.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010230827,0.093375,51.43857,1.0,1.0,2020-01-14,06:49,Roundabout,30.0,Crossroads,Central refuge,Darkness: street lights present and lit,2.0,Wet,Male,36.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010230740,0.13483,51.462004,1.0,1.0,2020-01-16,07:10,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Female,57.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010230307,0.146817,51.46558,1.0,1.0,2020-01-14,19:55,Single carriageway,30.0,T or staggered junction,Zebra Crossing,Darkness: street lights present and lit,5.0,Wet,Male,23.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010230188,0.119065,51.448019,1.0,1.0,2020-01-13,11:25,Roundabout,30.0,Roundabout,Central refuge,Daylight,8.0,Dry,Female,20.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2020010230129,0.134084,51.45682,1.0,1.0,2020-08-01,10:14,Slip road,30.0,Unknown,Unknown,Daylight,1.0,Dry,Male,40.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2020.0,2020,,,,,,,,
a2019010238247,0.163174,51.476566,1.0,2.0,2019-10-19,04:30,Single carriageway,30.0,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,1.0,Dry,Male,33.0,Serious,On footway or verge,Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010238247,0.163174,51.476566,1.0,2.0,2019-10-19,04:30,Single carriageway,30.0,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,1.0,Dry,Male,26.0,Fatal,On footway or verge,Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010225459,0.157754,51.466081,1.0,1.0,2019-12-16,18:15,Single carriageway,30.0,Mini roundabout,Central refuge,Darkness: street lights present and lit,2.0,Wet,Male,42.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010223966,0.173201,51.485724,1.0,1.0,2019-09-12,19:20,Roundabout,30.0,Roundabout,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Male,41.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010223322,0.135041,51.43879,1.0,1.0,2019-06-12,18:05,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present but unlit,2.0,Wet,Female,36.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010222155,0.152913,51.440333,1.0,1.0,2019-02-12,11:08,Single carriageway,20.0,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1.0,Dry,Female,58.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010221413,0.151386,51.491055,1.0,1.0,2019-11-28,16:45,Single carriageway,30.0,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,2.0,Wet,Female,62.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010220594,0.18616,51.449206,1.0,1.0,2019-11-22,17:30,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2.0,Wet,Female,37.0,Slight,"In centre of carriageway, not on refuge",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010218677,0.150952,51.44269,1.0,1.0,2019-11-14,18:00,Unknown,30.0,T or staggered junction,Unknown,Darkness: street lights present and lit,8.0,Wet,Male,28.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010216768,0.181364,51.474781,1.0,1.0,2019-07-11,16:25,Dual carriageway,30.0,Crossroads,Pedestrian phase,Daylight,1.0,Dry,Male,11.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010216143,0.14907,51.491439,1.0,1.0,2019-04-11,17:18,Single carriageway,30.0,T or staggered junction,Zebra Crossing,Darkness: street lights present and lit,2.0,Wet,Female,21.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010215984,0.128249,51.490101,1.0,1.0,2019-04-11,08:00,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Wet,Male,14.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010215591,0.177105,51.44977,1.0,1.0,2019-02-11,11:35,Single carriageway,30.0,T or staggered junction,Zebra Crossing,Daylight,2.0,Wet,Female,55.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010215033,0.181873,51.449843,1.0,1.0,2019-10-30,17:30,Slip road,20.0,Roundabout,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,-1.0,Slight,Unknown,Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010213951,0.162821,51.483101,1.0,1.0,2019-10-22,12:20,Dual carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,3.0,Dry,Male,44.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010213717,0.1463,51.457937,1.0,1.0,2019-10-24,10:45,One-way street,20.0,Other,No physical crossing facility within 50m,Daylight,2.0,Wet,Female,11.0,Serious,"In centre of carriageway, not on refuge",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010213636,0.083333,51.457571,2.0,1.0,2019-10-23,21:20,Slip road,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2.0,Wet,Male,27.0,Slight,On footway or verge,Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010213091,0.107381,51.46242,1.0,1.0,2019-08-29,17:20,Single carriageway,30.0,T or staggered junction,Unknown,Daylight,1.0,Dry,Male,50.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010212396,0.179523,51.450678,1.0,1.0,2019-10-17,18:55,Single carriageway,30.0,T or staggered junction,"Pelican, puffin, toucan",Darkness: street lights present and lit,2.0,Wet,Female,50.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010210148,0.129937,51.443199,1.0,1.0,2019-07-10,15:20,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,2.0,Wet,Male,11.0,Serious,"In carriageway, crossing elsewhere",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010207398,0.110058,51.465529,1.0,1.0,2019-09-24,08:15,Single carriageway,20.0,T or staggered junction,Zebra Crossing,Daylight,2.0,Wet,Male,11.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010206926,0.093694,51.457171,1.0,1.0,2019-09-21,22:20,Single carriageway,30.0,Other,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Female,23.0,Serious,"In carirageway, not crossing",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010206513,0.152104,51.444539,1.0,1.0,2019-09-20,08:34,Dual carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,63.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010206200,0.11749,51.441033,1.0,1.0,2019-09-18,16:30,Dual carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,73.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010204427,0.12218,51.506434,1.0,1.0,2019-10-09,07:20,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,9.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010203641,0.133914,51.456571,1.0,1.0,2019-06-09,06:41,Single carriageway,30.0,Unknown,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,32.0,Slight,Unknown,Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010203480,0.116604,51.447389,1.0,1.0,2019-04-09,15:50,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,21.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010203271,0.144063,51.455972,1.0,1.0,2019-04-09,11:00,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,86.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010202034,0.099715,51.426541,1.0,1.0,2019-08-28,13:45,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,35.0,Slight,On footway or verge,Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010199740,0.179256,51.480405,1.0,1.0,2019-08-15,16:05,One-way street,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,3.0,Slight,"In carirageway, not crossing",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010199670,0.121542,51.489926,1.0,1.0,2019-08-15,14:10,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,9.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010198673,0.145987,51.466306,1.0,1.0,2019-12-07,00:00,Single carriageway,30.0,Unknown,Unknown,Darkness: street lights present and lit,9.0,Dry,Male,29.0,Serious,Unknown,Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010198078,0.178894,51.451364,1.0,1.0,2019-06-08,11:00,One-way street,30.0,T or staggered junction,Pedestrian phase,Daylight,1.0,Dry,Female,26.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010195828,0.108763,51.464302,1.0,1.0,2019-12-07,14:45,Unknown,30.0,T or staggered junction,Unknown,Daylight,1.0,Dry,Female,58.0,Slight,Unknown,Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010195222,0.151753,51.490913,1.0,1.0,2019-07-16,19:45,Single carriageway,30.0,Unknown,Zebra Crossing,Daylight,8.0,Dry,Female,57.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010194319,0.177372,51.450538,1.0,1.0,2019-06-07,12:10,Unknown,30.0,Unknown,Unknown,Darkness: street lighting unknown,9.0,Unknown,Female,53.0,Slight,Unknown,Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010193762,0.103255,51.450974,1.0,1.0,2019-07-15,19:32,Single carriageway,30.0,Using private drive or entrance,Pedestrian phase,Daylight,1.0,Dry,Male,65.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010193098,0.149431,51.484121,1.0,1.0,2019-12-07,07:40,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,14.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010192561,0.102275,51.431225,1.0,1.0,2019-09-07,15:07,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,12.0,Slight,"In centre of carriageway, not on refuge",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010191087,0.164577,51.484598,1.0,1.0,2019-02-07,18:40,Single carriageway,30.0,T or staggered junction,Central refuge,Daylight,1.0,Dry,Female,19.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010190983,0.125852,51.495873,1.0,1.0,2019-06-25,15:50,Single carriageway,20.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,4.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010189772,0.10193,51.464748,1.0,1.0,2019-06-26,18:00,Single carriageway,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,44.0,Slight,"In centre of carriageway, not on refuge",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010189745,0.116861,51.417482,1.0,1.0,2019-06-26,17:30,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,12.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010188919,0.123921,51.495863,1.0,1.0,2019-06-22,16:05,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,8.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010185305,0.119315,51.419542,1.0,1.0,2019-05-06,08:45,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,4.0,Slight,"In carirageway, not crossing",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010185135,0.150436,51.445802,1.0,1.0,2019-04-06,15:44,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,2.0,Wet,Male,12.0,Slight,Unknown,Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010184384,0.123639,51.459429,1.0,1.0,2019-05-31,15:00,Single carriageway,30.0,T or staggered junction,Pedestrian phase,Daylight,1.0,Dry,Male,14.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010183990,0.170699,51.47158,1.0,2.0,2019-05-29,23:48,Single carriageway,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Female,28.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010183726,0.113312,51.414129,1.0,1.0,2019-05-28,16:20,Single carriageway,30.0,Roundabout,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,34.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010183502,0.151979,51.490819,1.0,1.0,2019-05-22,00:07,Single carriageway,30.0,T or staggered junction,Zebra Crossing,Darkness: street lights present and lit,1.0,Dry,Male,21.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010183233,0.120862,51.496062,1.0,1.0,2019-05-25,18:50,Single carriageway,30.0,Roundabout,No physical crossing facility within 50m,Darkness: street lights present but unlit,1.0,Dry,Female,13.0,Serious,"In centre of carriageway, not on refuge",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010182396,0.145455,51.47244,1.0,1.0,2019-05-22,08:26,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,35.0,Serious,"In carirageway, not crossing",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010181806,0.110455,51.46821,2.0,2.0,2019-05-19,11:04,Dual carriageway,30.0,Other,Zebra Crossing,Daylight,1.0,Dry,Male,12.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010181806,0.110455,51.46821,2.0,2.0,2019-05-19,11:04,Dual carriageway,30.0,Other,Zebra Crossing,Daylight,1.0,Dry,Male,45.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010181163,0.099065,51.463801,1.0,1.0,2019-05-16,07:34,Single carriageway,30.0,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1.0,Dry,Female,36.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010180795,0.108684,51.462271,1.0,1.0,2019-05-14,11:30,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,39.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010180229,0.180437,51.478593,1.0,2.0,2019-11-05,14:04,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,2.0,Wet,Female,20.0,Slight,On footway or verge,Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010179824,0.140459,51.451263,1.0,1.0,2019-09-05,13:19,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,2.0,Wet,Male,42.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010176290,0.106522,51.468461,1.0,1.0,2019-04-21,18:29,Single carriageway,30.0,Crossroads,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,38.0,Serious,"In carirageway, not crossing",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
a2019010176035,0.161649,51.474454,1.0,1.0,2019-04-19,19:28,One-way street,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,8.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010175806,0.18155,51.478995,1.0,1.0,2019-04-18,12:25,Single carriageway,30.0,Roundabout,Zebra Crossing,Daylight,1.0,Dry,Female,3.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010175387,0.11219,51.449366,1.0,1.0,2019-04-16,08:17,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,15.0,Slight,"In carirageway, not crossing",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010175275,0.145423,51.441406,1.0,1.0,2019-04-15,14:30,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,10.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2019.0,C2019,,,,,,,,
a2019010175254,0.143413,51.485086,1.0,1.0,2019-04-15,13:00,Single carriageway,30.0,Other,Zebra Crossing,Daylight,1.0,Dry,Female,77.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2019.0,2019,,,,,,,,
